Venue,Distance,Class,Standard_Time,Record_Time,Record_Horse
Sha Tin Turf Track,1000,Group,0.55.90,0.54.96,SUPER WEALTHY
Sha Tin Turf Track,1200,Group,1.08.15,1.07.12,KA YING RISING
Sha Tin Turf Track,1400,Group,1.21.10,1.19.36,KA YING RISING
Sha Tin Turf Track,1600,Group,1.33.90,1.32.55,MY WISH
Sha Tin Turf Track,1800,Group,1.47.10,1.45.25,SOUTHERN LEGEND
Sha Tin Turf Track,2000,Group,2.00.50,1:59.23,ROMANTIC WARRIOR
Sha Tin Turf Track,2400,Group,2.27.00,2.24.60,VIVA PATACA
Happy Valley Turf Track,1800,Group,1.48.95,1:47.94,MONEY CATCHER
Sha Tin Turf Track,1200,1,1.08.45,1.07.61,LUCKY PATCH
Sha Tin Turf Track,1400,1,1.21.25,1.19.92,ENCOURAGING
Sha Tin Turf Track,1600,1,1.34.05,1.32.24,PRECIOUSSHIP
Sha Tin Turf Track,2000,1,2.01.20,1.59.66,DARK DREAM
Happy Valley Turf Track,1200,1,1.09.10,1.08.70,TIGER PRAWN
Happy Valley Turf Track,1650,1,1.39.10,1.38.70,BLUE SKY
Sha Tin All Weather Track,1650,1,1.37.80,1.36.34,GUN PIT
Sha Tin Turf Track,1000,2,0.56.05,0.54.68,VALIANT DREAM
Sha Tin Turf Track,1200,2,1.08.65,1.07.74,YOUNG CHAMPION
Sha Tin Turf Track,1400,2,1.21.45,1.19.92,PACKING HERMOD
Sha Tin Turf Track,1600,2,1.34.25,1.32.96,NOT USUAL TALENT
Sha Tin Turf Track,1800,2,1.47.30,1:45.84,CALIFORNIATOTALITY
Sha Tin Turf Track,2000,2,2.01.70,1.59.53,GLORIOUS FOREVER
Happy Valley Turf Track,1000,2,0.56.40,0:55.89,WHIZZ KID
Happy Valley Turf Track,1200,2,1.09.30,1:08.10,BEAUTY WAVES
Happy Valley Turf Track,1650,2,1.39.30,1:37.74,AWESOME FLUKE
Happy Valley Turf Track,1800,2,1.49.15,1.47.61,TIME WARP
Sha Tin All Weather Track,1200,2,1.08.35,1.07.27,WINNER SUPREME
Sha Tin All Weather Track,1650,2,1.38.40,1.36.15,HONGKONG GREAT
Sha Tin Turf Track,1000,3,0.56.45,0.54.89,VOYAGE WARRIOR
Sha Tin Turf Track,1200,3,1.09.00,1.08.11,VICTOR THE WINNER
Sha Tin Turf Track,1400,3,1.21.65,1.20.62,PRECIOUSSHIP
Sha Tin Turf Track,1600,3,1.34.70,1.33.19,BEAUTY FIT
Sha Tin Turf Track,1800,3,1.47.50,1.46.18,GLORIOUS FOREVER
Sha Tin Turf Track,2000,3,2.01.90,1.59.77,WINNING WING
Happy Valley Turf Track,1000,3,0.56.65,0:55.85,STOLTZ
Happy Valley Turf Track,1200,3,1.09.60,1.08.49,AURIO
Happy Valley Turf Track,1650,3,1.39.90,1:38.34,HIGHLAND RAHY
Happy Valley Turf Track,1800,3,1.49.45,1:47.79,CHINA WIN
Happy Valley Turf Track,2200,3,2.16.60,2.14.14,VINCY
Sha Tin All Weather Track,1200,3,1.08.55,1.07.40,DEHERE'S THE LOVE
Sha Tin All Weather Track,1650,3,1.38.60,1.36.79,TRUE LEGEND
Sha Tin All Weather Track,1800,3,1.48.05,1.46.46,PARTY EVERYDAY
Sha Tin Turf Track,1000,4,0.56.65,0.54.94,UNITED WE STAND
Sha Tin Turf Track,1200,4,1.09.35,1.08.36,JUBILANT WINNER
Sha Tin Turf Track,1400,4,1.22.00,1:20.76,TOP DRAGON
Sha Tin Turf Track,1600,4,1.34.90,1:33.28,BRIGHT INHERITANCE
Sha Tin Turf Track,1800,4,1.47.85,1.46.54,CROWN AVENUE
Sha Tin Turf Track,2000,4,2.02.35,2.00.67,FULL POWER
Happy Valley Turf Track,1000,4,0.57.20,0.56.39,GENTLE BREEZE
Happy Valley Turf Track,1200,4,1.09.90,1:08.60,HAPPILY FRIENDS
Happy Valley Turf Track,1650,4,1.40.10,1:38.42,HIGHLAND RAHY
Happy Valley Turf Track,1800,4,1.49.65,1.48.10,ACCLAIMED LIGHT
Happy Valley Turf Track,2200,4,2.17.05,2.14.42,BRIGHT KID
Sha Tin All Weather Track,1200,4,1.08.95,1.08.14,HAPPY TOUR
Sha Tin All Weather Track,1650,4,1.39.05,1.37.74,MISSION BRAVO
Sha Tin All Weather Track,1800,4,1.48.55,1.47.45,MISSION BRAVO
Sha Tin Turf Track,1000,5,0.57.00,0.55.64,UNITED WE STAND
Sha Tin Turf Track,1200,5,1.09.55,1.08.64,IRON KING
Sha Tin Turf Track,1400,5,1.22.30,1.21.40,FIGHT TIME
Sha Tin Turf Track,1600,5,1.35.45,1.34.35,NINJA DERBY
Sha Tin Turf Track,1800,5,1.48.45,1.47.33,ON THE LASH
Sha Tin Turf Track,2000,5,2.02.65,2.01.28,HAPPY HERO
Happy Valley Turf Track,1000,5,0.57.35,0.56.52,SHANGHAI POWER
Happy Valley Turf Track,1200,5,1.10.10,1.09.17,ALLOY KING
Happy Valley Turf Track,1650,5,1.40.30,1:38.91,ALL JOYFUL
Happy Valley Turf Track,1800,5,1.49.95,1:48.33,SUCCESS ALLSTARS
Happy Valley Turf Track,2200,5,2.17.35,2:15.12,SUPER HONG KONG
Sha Tin All Weather Track,1200,5,1.09.35,1.08.46,TRILLION TREASURE
Sha Tin All Weather Track,1650,5,1.39.45,1.38.30,APOLAR WARRIOR
Sha Tin All Weather Track,1800,5,1.49.45,1.47.67,LUCKY BOLE
Sha Tin Turf Track,1000,Griffin,0.56.65,0.55.33,CALIFORNIA SPANGLE
Sha Tin Turf Track,1200,Griffin,1.09.90,1.08.47,CALIFORNIA SPANGLE
