clean_name,horse_gear,gear_win_rate
,B1,0.0
,B-,0.0
,B2,0.0
,TT1/B,0.0
,TT/B,0.16
,--,0.0
,H1,0.0
,H-/B1,0.0
,B-/P1,0.0
,P,0.0
,P-/B2,0.0
,B,0.0625
A BEAUTIFUL,--,0.0625
A FAST ONE,--,0.0
A SHIN HIKARI,--,0.03571428571428571
A SHIN HOOF,--,0.0
A STAR LUSTER,--,0.0
A-SPIRIT,--,0.0
A-SPIRIT,TT1,0.0
A-SPIRIT,TT,0.0
A-SPIRIT,TT/B1,0.0
A-SPIRIT,TT/B,0.4
AASHIQ,--,0.0
AASHIQ,TT1,0.0
AASHIQ,TT,0.0
AASHIQ,TT/B1,0.0
AASHIQ,TT/B2,0.0
AASHIQ,TT/B,0.2
AASHIQ,TT/B-/PC1,0.0
AASHIQ,TT/PC,0.0
AASHIQUI,--,0.0
ABLE DEED,--,0.0
ABLE DRAGON,--,1.0
ABLE DRAGON,B1,0.0
ABLE DRAGON,B,0.0
ABLE DRAGON,V-/B2,0.0
ABLE FRIEND,--,0.0
ABLE MAGIC,--,0.0
ABLE ONE,B1,0.0
ABLE ONE,B-/H1,0.0
ABLE ONE,H-/B2,0.0
ABLE ONE,B,0.0
ABLE SPEED,--,0.13793103448275862
ABLE TALENT,XB1,0.0
ABLE TALENT,XB,0.25
ABLE TALENT,CP/XB,0.0
ABLE TALENT,XB/B1,0.0
ABLE TALENT,B/XB,0.0
ABLE WARRIOR,B1,0.0
ABLE WARRIOR,B,0.0
ABLE WARRIOR,B-,0.0
ABLE WARRIOR,--,0.35294117647058826
ABLE WARRIOR,XB1,0.0
ABLE WARRIOR,XB-,0.0
ABSOLUCOOL,TT1/B1,0.0
ABSOLUCOOL,TT-/B-,0.0
ABSOLUCOOL,--,0.0
ABSOLUCOOL,B2,0.0
ABSOLUCOOL,B,0.0
ABSOLUCOOL,TT/B,0.14285714285714285
ABSOLUTE FANTASY,TT1/SR1,0.0
ABSOLUTE FANTASY,TT/SR,0.0
ABSOLUTE FANTASY,TT/SR/H1,0.0
ABSOLUTE FANTASY,TT/H/SR,0.0
ABSOLUTE FANTASY,TT-/H-/SR,0.0
ABSOLUTE FANTASY,SR,0.0
ABSOLUTE FANTASY,SR-/XB1,0.0
ABSOLUTE FANTASY,XB,0.25
ABSOLUTE HEDGE,--,0.0
ABSOLUTE HEDGE,TT1/B1,0.0
ABSOLUTE HEDGE,TT/B,0.0
ABSOLUTELY WIN,B1,0.0
ABSOLUTELY WIN,B-,0.0
ABSOLUTELY WIN,P1,0.0
ABSOLUTELY WIN,P-,0.0
ABSOLUTELY WIN,CP1/H1,0.0
ABSOLUTELY WIN,CP-/H-,0.0
ABSOLUTELY WIN,--,0.0
ABSOLUTELY WIN,B2,0.0
ABSOLUTELY WIN,B,0.0
ACCEPTED,--,0.07692307692307693
ACCESS YEARS,H1,0.0
ACCESS YEARS,H,0.0
ACCESS YEARS,H/SR1,0.0
ACCESS YEARS,H/SR,0.0
ACCESS YEARS,H-/SR,0.0
ACCESS YEARS,SR,0.0
ACCESS YEARS,SR-,0.0
ACCESS YEARS,CP1,0.0
ACCESSION YEARS,TT1/XB1,0.0
ACCESSION YEARS,TT/XB,0.0
ACCESSION YEARS,TT/XB/H1,0.0
ACCESSION YEARS,TT/H/XB,0.0
ACCESSION YEARS,TT/H-/XB-/B1,0.0
ACCESSION YEARS,TT2/B,0.0
ACCESSION YEARS,TT/B,0.14285714285714285
ACCLAIMED LIGHT,B1,0.0
ACCLAIMED LIGHT,B-/P1,0.0
ACCLAIMED LIGHT,P-,0.0
ACCLAIMED LIGHT,B2,0.0
ACCLAIMED LIGHT,B,0.14285714285714285
ACCLAIMED LIGHT,--,0.0
ACE KING,--,0.0425531914893617
ACTIVISM,--,0.047619047619047616
ACTIVISM,CP,0.14285714285714285
ACTIVISM,CP-,0.0
ACTIVISM,CP2,0.0
ACTUARIAT,--,0.0
ACTUARY,--,0.125
ACUMEN,B1,0.0
ACUMEN,TT1/B-,0.0
ACUMEN,TT/CP1,0.0
ACUMEN,TT/CP,0.0
ACUMEN,TT/CP-,0.0
ACUMEN,--,0.25
ACUMEN,TT,0.2
ADDOLE,--,0.0
ADEPTO,TT1,0.0
ADEPTO,TT,0.0
ADEPTO,TT/H1,0.0
ADEPTO,TT/H,0.0
ADEPTO,TT/H/CP1,0.0
ADEPTO,TT/CP/H,0.0
ADEPTO,TT-/CP-/H-/B1/XB1,0.0
ADEPTO,B/XB,0.0
ADEPTO,B/XB/H2,0.0
ADEPTO,B-/H/XB,0.0
ADEPTO,B/H/XB,0.0
ADMIRABLE,H1,0.0
ADMIRABLE,H,0.0
ADMIRABLE,H-,0.0
ADMIRABLE,--,0.0
ADMIRAL LORD,H1,0.0
ADMIRAL LORD,--,0.0
ADMIRAL LORD,XB1/H2,0.0
ADMIRAL LORD,H/XB2,0.0
ADMIRAL LORD,H/XB,0.16666666666666666
ADMIRAL LORD,XB-/H,1.0
ADMIRAL LORD,H,0.0
ADMIRAL LORD,H-,0.0
ADMIRATION,--,0.0
ADMIRATION,TT1/B1,0.0
ADMIRATION,TT/B,0.07142857142857142
ADMIRATION,TT-/B,0.0
ADMIRATION,B,0.0
ADONIS,SR1,0.0
ADONIS,SR,0.0
ADONIS,SR-/H1,0.0
ADONIS,H,0.0
ADONIS,H-/SR2,0.0
ADONIS,SR-/B1,0.0
ADONIS,B-,0.0
ADONIS,--,0.0
ADONIS,B2,0.0
ADONIS,B,0.0
ADONIS,B-/CP1,0.0
ADORATION,B1/H1,0.0
ADORATION,B-/H-/SR1,0.0
ADORATION,SR-/B2/H2,0.0
ADORATION,B/H,0.0
ADORATION,H-/B/E1,0.0
ADORATION,E-/B,0.0
ADORATION,B,0.0
ADVENTURER,--,0.0
AEROHAPPINESS,B1,0.0
AEROHAPPINESS,TT1/B-/CP1/XB1,0.0
AEROHAPPINESS,TT/CP/XB,0.09090909090909091
AEROHAPPINESS,--,0.0
AEROLUMINANCE,TT1,0.0
AEROLUMINANCE,TT,0.0
AEROLUMINANCE,TT/CP1,0.0
AEROLUMINANCE,TT/CP,0.0
AEROLUMINANCE,TT/CP-/B1,0.0
AEROSA,H1,0.0
AEROSA,H,0.6666666666666666
AEROSPEED,--,0.14285714285714285
AEROVELOCITY,--,0.0
AFFECTION,--,0.0
AFFLUENCE OF RAIN,--,0.0
AFFLUENCE START,--,0.0
AFRICA LIGHT,--,0.0
AFRICAN STORY,--,0.0
AFTER ME,--,0.11764705882352941
AGIAAL,--,0.05263157894736842
AGILITY HERO,--,0.0967741935483871
AGREE,--,0.09615384615384616
AH BO,--,0.13157894736842105
AIMING HIGH,--,0.06451612903225806
AIPODER IMAGE,--,0.1
AKEED MOFEED,--,0.05555555555555555
AL AIN,H1/SR1,0.0
AL PRINCE,--,0.1111111111111111
ALADDIN PRINCE,--,0.2
ALADDIN,--,0.0
ALBICELESTE,--,0.0
ALCARI,--,0.041666666666666664
ALCAZAR,--,0.16666666666666666
ALCOPOP,--,0.034482758620689655
ALDAWAY,--,0.16129032258064516
ALGARVE,--,0.12903225806451613
ALICE TOO,--,0.1111111111111111
ALL BEST FRIENDS,--,0.0
ALL BOUNTIFUL,--,0.0
ALL DELIGHT,TT1,0.0
ALL DELIGHT,TT,0.13636363636363635
ALL DELIGHT,TT/H1,0.0
ALL DELIGHT,TT/H,0.0
ALL DELIGHT,TT/H-/B1,0.0
ALL DELIGHT,TT/B,0.0
ALL FRIENDS,--,0.10526315789473684
ALL GREAT FRIENDS,--,0.2
ALL IS WELL,--,0.4
ALL LUCKY,--,0.0967741935483871
ALL MY BENEFIT,--,0.0
ALL MY GAIN,--,0.0
ALL MY GLORY,--,0.15789473684210525
ALL MY KINGDOMS,--,0.0
ALL PALS,--,0.0
ALL ROUND,--,0.1111111111111111
ALL THE BEST,--,0.16666666666666666
ALL THE WINNERS,--,0.1111111111111111
ALL TIMES LUCKY,TT1/H1,0.0
ALL TIMES LUCKY,TT/H,0.0
ALL TIMES LUCKY,H-/XB,0.0
ALL TIMES LUCKY,XB,0.0
ALL TOGETHER,B1,0.0
ALL TOGETHER,B-,0.0
ALL TOGETHER,--,0.25
ALL TOGETHER,B2,0.0
ALL TOGETHER,B,0.0
ALL VICTORY,XB1,0.0
ALL VICTORY,XB,0.0625
ALL VICTORY,XB/B1,0.0
ALL VICTORY,B/XB,0.1111111111111111
ALL WAYS BEST,B1,0.0
ALL WAYS BEST,B,0.04
ALL WAYS BEST,B-,0.0
ALL WAYS BEST,--,0.0
ALL WIN BOY,H1,0.0
