jockey,trainer,win_rate
A BADEL,C S SHUM,0.3
A SUBORICS,C S SHUM,0.18181818181818182
C Y HO,T K NG,0.18181818181818182
D WHYTE,K L MAN,0.1875
D WHYTE,T K NG,0.2
G LERENA,D CRUZ,0.18181818181818182
G MOSSE,T P YUNG,0.1875
J MOREIRA,A S CRUZ,0.2702702702702703
J MOREIRA,A T MILLARD,0.18604651162790697
J MOREIRA,C FOWNES,0.24528301886792453
J MOREIRA,C H YIP,0.25
J MOREIRA,C S SHUM,0.38636363636363635
J MOREIRA,C W CHANG,0.23076923076923078
J MOREIRA,D CRUZ,0.2857142857142857
J MOREIRA,D J HALL,0.2653061224489796
J MOREIRA,J MOORE,0.23008849557522124
J MOREIRA,J SIZE,0.21839080459770116
J MOREIRA,K L MAN,0.18181818181818182
J MOREIRA,K W LUI,0.36
J MOREIRA,L HO,0.4
J MOREIRA,P F YIU,0.3103448275862069
J MOREIRA,P O'SULLIVAN,0.3888888888888889
J MOREIRA,W Y SO,0.3
J MOREIRA,Y S TSUI,0.39285714285714285
K C LEUNG,A LEE,0.18181818181818182
K K CHIONG,A T MILLARD,0.1951219512195122
K TEETAN,J SIZE,0.19402985074626866
N RAWILLER,Y S TSUI,0.24
O DOLEUZE,J SIZE,0.25
R MOORE,J SIZE,0.3333333333333333
S CLIPPERTON,D E FERRARIS,0.3
S DE SOUSA,T K NG,0.2
V CHEMINAUD,D CRUZ,0.2
Z PURTON,A S CRUZ,0.22857142857142856
Z PURTON,C S SHUM,0.18
Z PURTON,D J HALL,0.25
Z PURTON,J MOORE,0.21333333333333335
Z PURTON,J SIZE,0.19047619047619047
Z PURTON,P F YIU,0.1875
Z PURTON,P O'SULLIVAN,0.23008849557522124
Z PURTON,W Y SO,0.3
