clean_name,last_win_rating,ST_win_rate,HV_win_rate,ST_vs_HV_pref,AWT_win_rate,Turf_win_rate,AWT_vs_Turf_pref,last_form_going,recent_avg_pos,recent_win_rate,last_run_date,last_race_class_int,last_horse_rating,last_gear,distance_win_rate,prev_run_vet_finding,horse_code,avg_first_pos,gear_win_rate,has_overseas_form,winning_gears,gallops_30d,trots_30d,swims_30d,last_workout_date,last_workout_type,last_workout_detail,is_in_conghua,latest_body_weight
A TIME FOR US,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,7.0,0.0,2026-07-04,4.0,54.0,B/TT,0.0,0.0,K475,6.0,0.0,1.0,[],6.0,27.0,29.0,14/09/2026,Gallop,31.5 25.9 (57.4) (R.B.),0.0,
AASHIQ,34.0,0.0625,0.0,Sha Tin,0.0,0.0588235294117647,Turf,GOOD TO FIRM,7.25,0.0,2005-07-24,5.0,35.0,PC/TT,0.0,1.0,K175,,,1.0,,6.0,27.0,0.0,24/09/2026,Gallop,28.5 23.9 (52.4) (R.B.) Partner Horse,0.0,
ABLE DRAGON,,,,,,,,,,,,,,,,0.0,J308,,,1.0,,3.0,24.0,18.0,25/09/2026,Gallop,33.2 27.6 (1.00.8) (R.B.),0.0,
ABLE MAGIC,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO YIELDING,8.0,0.0,2002-09-01,3.0,60.0,--,0.0,0.0,L290,,,1.0,,0.0,0.0,0.0,14/09/2026,Trotting,SmT 2 Round - Rev Fast (R.B.),0.0,
ABLE ONE,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,8.25,0.0,2005-05-29,5.0,42.0,B,0.0,0.0,G108,,,1.0,,0.0,0.0,0.0,,,,0.0,
ABLE SPEED,60.0,0.1666666666666666,0.0,Sha Tin,0.2352941176470588,0.0,AWT,GOOD,11.0,0.0,2002-11-27,3.0,60.0,--,0.0,0.0,K210,,,1.0,,0.0,0.0,0.0,,,,0.0,
ABSOLUTE AWAKENED,47.0,0.0,0.125,Happy Valley,0.0,0.0833333333333333,TURF,GOOD,7.5,0.0,2026-06-10,4.0,50.0,H-/TT-,0.125,0.0,K039,7.636363636363637,0.0,1.0,['H/TT'],7.0,24.0,29.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
ABSOLUTE HEDGE,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,13.333333333333334,0.0,2005-03-02,4.0,44.0,B/TT,0.0,1.0,L032,,,1.0,,4.0,31.0,1.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
ACE,48.0,0.1666666666666666,0.0,Sha Tin,0.0,0.1666666666666666,TURF,GOOD,5.5,0.25,2026-07-01,4.0,54.0,B/TT,0.2,0.0,K307,7.25,0.0,1.0,"['B1/TT', 'BO-/TT']",7.0,22.0,29.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
ACE CHAMPION,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD TO FIRM,6.75,0.0,2026-06-24,4.0,64.0,CP1/TT,0.0,0.0,K379,8.5,0.0,1.0,[],,,,,,,,
