date,group,distance,track,position,total_runners,jockey,splits,total_time,horse_name,race_no
15/09,4,1200,SHA TIN AWT,1,7,P N WONG,24.7 22.7 23.3,1.10.79,ROBOT KNIGHT,1
20/08,3,1200,CONGHUA AWT,1,5,P N WONG,25.1 22.4 23.4,1.10.96,ROBOT KNIGHT,1
15/09,2,1200,SHA TIN AWT,6,8,L FERRARIS,24.3 22.8 23.0,1.10.19,DAILY TROPHY,1
02/09,2,1200,SHA TIN AWT,5,8,L FERRARIS,24.5 22.8 23.6,1.10.91,DAILY TROPHY,1
15/09,4,1200,SHA TIN AWT,2,7,A ATZENI,24.7 22.7 23.3,1.10.79,HAPPY ACTION,1
19/09,7,1200,HAPPY VALLEY TURF,3,9,Z PURTON,26.3 23.9 22.9,1.13.15,ONLY U,1
17/09,3,1200,SHA TIN AWT,7,8,K TEETAN,24.3 23.0 23.7,1.11.04,HANDSOME BLOND,1
02/09,3,1200,SHA TIN AWT,1,8,K TEETAN,24.5 23.4 23.7,1.11.64,HANDSOME BLOND,1
07/09,9,1200,CONGHUA TURF,5,10,M L YEUNG,25.5 23.0 22.6,1.11.16,NOT USUAL DOUBLE,2
24/08,3,1000,CONGHUA TURF,6,10,M L YEUNG,13.4 21.5 22.7,0.57.69,NOT USUAL DOUBLE,2
30/06,2,1200,SHA TIN AWT,5,7,M L YEUNG,24.5 23.4 23.0,1.10.95,NOT USUAL DOUBLE,2
12/06,9,1200,CONGHUA TURF,4,10,M L YEUNG,24.6 22.1 24.4,1.11.10,NOT USUAL DOUBLE,2
29/05,3,1000,CONGHUA TURF,3,10,M L YEUNG,13.6 21.6 22.9,0.58.16,NOT USUAL DOUBLE,2
08/09,4,1200,SHA TIN AWT,7,9,M F POON,24.3 23.2 23.1,1.10.66,DAILY FUN,2
07/09,9,1200,CONGHUA TURF,8,10,M CHADWICK,25.5 23.0 22.6,1.11.16,ULTRA BOLT,2
24/08,4,1000,CONGHUA TURF,9,9,M CHADWICK,13.6 21.5 23.3,0.58.46,ULTRA BOLT,2
18/09,7,1200,CONGHUA TURF,3,10,C M THABANA,25.1 23.0 22.9,1.11.04,SOO KOO,2
04/09,9,1200,CONGHUA TURF,1,10,M L YEUNG,24.6 22.7 23.3,1.10.63,SOO KOO,2
19/09,7,1200,HAPPY VALLEY TURF,7,9,K C LEUNG,26.3 23.9 22.9,1.13.15,KYOTO SPRING,2
02/09,3,1200,SHA TIN AWT,8,8,K C LEUNG,24.5 23.4 23.7,1.11.64,KYOTO SPRING,2
07/09,4,1000,CONGHUA TURF,8,10,L FERRARIS,13.8 21.8 22.3,0.57.92,NAVAS G,2
11/09,6,1050,SHA TIN AWT,5,7,L HEWITSON,16.5 22.2 22.4,1.01.19,JUST FOLLOW ME,2
02/09,3,1200,SHA TIN AWT,2,8,A ATZENI,24.5 23.4 23.7,1.11.64,SUPER DRAGON,2
17/09,3,1200,SHA TIN AWT,3,8,C Y HO,24.3 23.0 23.7,1.11.04,FOREVER FANCY,3
18/09,10,1200,CONGHUA TURF,1,9,L FERRARIS,24.4 22.4 23.8,1.10.61,STORMY KNIGHT,3
02/09,3,1200,SHA TIN AWT,6,8,R KINGSCOTE,24.5 23.4 23.7,1.11.64,PRESTIGE SUPERIOR,3
21/09,10,1200,CONGHUA TURF,6,9,J ORMAN,24.8 22.9 22.9,1.10.60,AQUAMAN,3
31/08,4,1000,CONGHUA TURF,7,10,J ORMAN,13.6 21.7 22.8,0.58.12,AQUAMAN,3
21/09,6,800,CONGHUA TURF,2,6,H T MO,24.6 22.4,0.47.02,BLUE BARON,3
04/09,9,1200,CONGHUA TURF,3,10,L HEWITSON,24.6 22.7 23.3,1.10.63,PRINCE ALEX,3
17/09,2,1200,SHA TIN AWT,5,10,H Y YUEN,24.1 21.9 22.9,1.08.94,RAPID PHANTOM,4
15/09,5,1050,SHA TIN AWT,3,5,A ATZENI,16.6 22.3 22.6,1.01.54,HARVEST MOON,4
30/08,4,1000,SHA TIN TURF,3,12,A ATZENI,13.7 21.3 22.7,0.57.74,HARVEST MOON,4
03/07,3,1200,SHA TIN AWT,4,10,A ATZENI,24.2 21.9 23.2,1.09.32,HARVEST MOON,4
11/06,5,1050,SHA TIN AWT,4,6,J ORMAN,15.8 21.1 22.6,0.59.52,HARVEST MOON,4
26/05,6,800,SHA TIN TURF,3,12,A ATZENI,24.0 21.7,0.45.71,HARVEST MOON,4
07/09,4,1000,CONGHUA TURF,3,10,K C LEUNG,13.8 21.8 22.3,0.57.92,FLOWING RICHES,4
11/09,5,1200,SHA TIN AWT,4,9,M L YEUNG,24.6 22.8 23.4,1.10.85,SHOW ME YOUR LOVE,4
18/09,3,1000,CONGHUA TURF,2,10,P N WONG,13.8 21.8 22.7,0.58.31,ZOUPER FELLOW,4
31/08,5,800,CONGHUA TURF,1,10,P N WONG,23.6 22.1,0.45.79,ZOUPER FELLOW,4
10/09,2,1200,CONGHUA AWT,2,7,S SHAFRIZAL,24.6 22.3 23.5,1.10.40,CAUSEWAY KING,5
15/09,5,1050,SHA TIN AWT,1,5,C L CHAU,16.6 22.3 22.6,1.01.54,CENTRAL BANK,5
28/08,7,1050,SHA TIN AWT,2,9,Z PURTON,15.9 21.5 23.9,1.01.30,CENTRAL BANK,5
18/09,7,1200,CONGHUA TURF,7,10,E C W WONG,25.1 23.0 22.9,1.11.04,WATCH LEGEND,5
07/09,1,1000,CONGHUA TURF,5,10,M CHADWICK,14.0 21.5 21.8,0.57.31,WATCH LEGEND,5
24/08,1,1000,CONGHUA TURF,9,10,H T MO,13.8 21.4 22.7,0.57.93,WATCH LEGEND,5
08/09,4,1200,SHA TIN AWT,2,9,C L CHAU,24.3 23.2 23.1,1.10.66,NATURAL HIGH,5
28/08,5,1200,SHA TIN AWT,3,10,M CHADWICK,24.0 23.4 23.8,1.11.25,M M CONCORD,5
21/09,6,800,CONGHUA TURF,6,6,M L YEUNG,24.6 22.4,0.47.02,NOBLE DELUXE,5
19/09,4,1200,HAPPY VALLEY TURF,6,8,K TEETAN,25.5 23.2 23.3,1.12.03,DASHING PEACH,5
03/09,4,1200,SHA TIN AWT,5,10,K TEETAN,25.1 23.1 22.9,1.11.17,DASHING PEACH,5
19/09,6,1200,HAPPY VALLEY TURF,1,9,Z PURTON,24.5 23.3 23.6,1.11.48,TURIN CHAMPIONS,6
10/09,2,1200,CONGHUA AWT,4,7,M KELLADY,24.6 22.3 23.5,1.10.40,TURIN CHAMPIONS,6
31/08,3,1000,CONGHUA TURF,7,10,B AVDULLA,13.7 21.4 22.7,0.57.82,TURIN CHAMPIONS,6
07/09,2,1000,CONGHUA TURF,3,9,H Y YUEN,13.8 21.4 22.2,0.57.48,CIRCUIT FIERY,6
08/09,6,1200,SHA TIN AWT,1,9,K C LEUNG,24.1 22.6 23.6,1.10.32,BUCEPHALAS,6
11/09,5,1200,SHA TIN AWT,6,9,A ATZENI,24.6 22.8 23.4,1.10.85,GREEN AUTUMN,6
02/09,2,1200,SHA TIN AWT,3,8,H BENTLEY,24.5 22.8 23.6,1.10.91,LUCKY MAN,6
18/09,10,1200,CONGHUA TURF,3,9,Z ZURIMAN,24.4 22.4 23.8,1.10.61,CHIU CHOW GOLF,6
04/09,8,1200,CONGHUA TURF,3,10,H BENTLEY,25.3 23.1 22.9,1.11.33,CHIU CHOW GOLF,6
07/09,7,1600,CONGHUA TURF,10,10,L FERRARIS,25.6 24.9 24.7 23.0,1.38.21,GOLDEN GUNNERS,6
04/09,10,1200,CONGHUA TURF,4,9,B AVDULLA,25.1 23.8 23.0,1.11.96,HOT AIR BALLON,6
04/09,9,1200,CONGHUA TURF,8,10,Y L CHUNG,24.6 22.7 23.3,1.10.63,WORD OF KINDNESS,6
15/09,2,1200,SHA TIN AWT,4,8,A ATZENI,24.3 22.8 23.0,1.10.19,RIDING TOGETHER,7
01/09,2,1200,SHA TIN AWT,4,8,A ATZENI,24.3 23.1 23.9,1.11.34,RIDING TOGETHER,7
08/09,3,1200,SHA TIN AWT,6,8,H BENTLEY,24.2 22.9 23.7,1.10.83,ALL'S WELL,7
04/09,7,1200,CONGHUA TURF,1,10,Y L CHUNG,24.6 22.5 22.9,1.10.03,FOUR STARS ALIGN,7
02/07,2,1050,CONGHUA AWT,1,5,S MUTAZA,16.3 21.6 23.4,1.01.39,FOUR STARS ALIGN,7
15/09,2,1200,SHA TIN AWT,7,8,M F POON,24.3 22.8 23.0,1.10.19,HOTT SHOTT,7
03/09,1,1200,SHA TIN AWT,4,9,M F POON,24.4 22.8 22.7,1.09.97,HOTT SHOTT,7
17/09,2,1200,SHA TIN AWT,1,10,B AVDULLA,24.1 21.9 22.9,1.08.94,BUSTLING CITY,7
04/09,2,1000,CONGHUA TURF,1,9,B AVDULLA,13.4 21.4 22.4,0.57.25,BUSTLING CITY,7
11/09,5,1200,SHA TIN AWT,1,9,E C W WONG,24.6 22.8 23.4,1.10.85,PACKING KING,7
28/08,3,1200,SHA TIN AWT,2,10,E C W WONG,24.5 23.3 24.1,1.11.96,PACKING KING,7
10/09,6,1050,CONGHUA AWT,2,5,Z ZURIMAN,16.2 21.5 23.3,1.01.04,HERBAL STAR,7
07/09,4,1000,CONGHUA TURF,2,10,K TEETAN,13.8 21.8 22.3,0.57.92,SPEEDY SMARTIE,7
19/09,3,1200,HAPPY VALLEY TURF,2,8,K TEETAN,24.8 23.5 23.2,1.11.51,GALAXY PATCH,8
17/09,1,1200,SHA TIN AWT,7,8,A ATZENI,24.1 22.6 23.2,1.09.95,HELIOS EXPRESS,8
03/09,1,1200,SHA TIN AWT,7,9,H BOWMAN,24.4 22.8 22.7,1.09.97,HELIOS EXPRESS,8
17/09,1,1200,SHA TIN AWT,5,8,L FERRARIS,24.1 22.6 23.2,1.09.95,INVINCIBLE IBIS,8
03/09,2,1200,SHA TIN AWT,5,10,H BOWMAN,24.5 22.2 22.9,1.09.61,INVINCIBLE IBIS,8
17/09,1,1200,SHA TIN AWT,1,8,K TEETAN,24.1 22.6 23.2,1.09.95,PATCH OF THETA,8
03/09,1,1200,SHA TIN AWT,2,9,K TEETAN,24.4 22.8 22.7,1.09.97,PATCH OF THETA,8
15/09,1,1200,SHA TIN AWT,2,7,Z PURTON,24.8 22.9 23.4,1.11.19,LITTLE PARADISE,8
31/08,1,1000,CONGHUA TURF,5,10,M L YEUNG,13.5 21.4 22.7,0.57.67,LITTLE PARADISE,8
15/09,1,1200,SHA TIN AWT,7,7,C L CHAU,24.8 22.9 23.4,1.11.19,STORMY GROVE,8
18/09,5,1200,CONGHUA TURF,5,10,C Y HO,24.8 23.0 22.9,1.10.75,AMAZING PARTNERS,9
31/08,6,1200,CONGHUA TURF,2,10,L HEWITSON,23.6 22.5 24.1,1.10.22,AMAZING PARTNERS,9
18/09,6,1200,CONGHUA TURF,4,10,B AVDULLA,25.8 22.6 23.1,1.11.53,MISTER DAPPER,9
04/09,6,1200,CONGHUA TURF,3,10,B AVDULLA,25.0 23.2 23.1,1.11.39,MISTER DAPPER,9
18/09,4,1600,CONGHUA TURF,3,10,M L YEUNG,25.7 24.1 24.2 23.5,1.37.55,FALLON,9
07/09,7,1600,CONGHUA TURF,1,10,M L YEUNG,25.6 24.9 24.7 23.0,1.38.21,FALLON,9
18/09,7,1200,CONGHUA TURF,1,10,L FERRARIS,25.1 23.0 22.9,1.11.04,FLYING LUCK,9
04/09,7,1200,CONGHUA TURF,8,10,L FERRARIS,24.6 22.5 22.9,1.10.03,FLYING LUCK,9
11/09,2,1200,SHA TIN AWT,1,8,Z PURTON,23.9 22.7 23.8,1.10.41,PACKING FIGHTER,9
28/08,1,1200,SHA TIN AWT,2,10,Z PURTON,24.5 23.1 24.1,1.11.75,PACKING FIGHTER,9
08/09,4,1200,SHA TIN AWT,3,9,K TEETAN,24.3 23.2 23.1,1.10.66,NUCLEOZOR,9
19/09,5,1200,HAPPY VALLEY TURF,2,9,H BENTLEY,25.4 23.7 23.3,1.12.48,SHAMUS STORM,9
04/09,7,1200,CONGHUA TURF,4,10,H BENTLEY,24.6 22.5 22.9,1.10.03,SHAMUS STORM,9
24/08,1,1000,CONGHUA TURF,6,10,H BENTLEY,13.8 21.4 22.7,0.57.93,SHAMUS STORM,9
17/09,2,1200,SHA TIN AWT,6,10,A ATZENI,24.1 21.9 22.9,1.08.94,QUANTUM LEGEND,9
01/09,4,1200,SHA TIN AWT,8,9,A ATZENI,24.7 23.4 23.8,1.11.93,QUANTUM LEGEND,9
19/09,3,1200,HAPPY VALLEY TURF,4,8,B AVDULLA,24.8 23.5 23.2,1.11.51,STORM RIDER,10
10/09,1,1200,CONGHUA AWT,4,5,M KELLADY,24.0 21.5 23.5,1.09.03,STORM RIDER,10
31/08,1,1000,CONGHUA TURF,2,10,B AVDULLA,13.5 21.4 22.7,0.57.67,STORM RIDER,10
11/09,6,1050,SHA TIN AWT,2,7,M L YEUNG,16.5 22.2 22.4,1.01.19,MUGEN,10
07/09,8,1200,CONGHUA TURF,2,9,S SHAFRIZAL,25.6 22.8 22.6,1.11.01,RISING FORCE,10
08/09,1,1200,SHA TIN AWT,1,8,E C W WONG,25.0 23.3 22.7,1.11.01,SKY TRUST,10
30/08,1,1000,SHA TIN TURF,8,11,E C W WONG,13.5 20.8 22.4,0.56.73,SKY TRUST,10
07/09,1,1000,CONGHUA TURF,3,10,K C LEUNG,14.0 21.5 21.8,0.57.31,AERIS NOVA,10
24/08,6,1200,CONGHUA TURF,9,10,K C LEUNG,25.8 23.3 23.3,1.12.46,AERIS NOVA,10
15/05,2,1200,CONGHUA TURF,5,8,K C LEUNG,24.6 21.8 23.5,1.09.90,AERIS NOVA,10
27/04,7,1200,CONGHUA TURF,6,8,K C LEUNG,24.6 22.7 22.9,1.10.22,AERIS NOVA,10
10/04,3,1200,CONGHUA TURF,4,8,K C LEUNG,25.0 23.1 23.1,1.11.27,AERIS NOVA,10
20/01,2,1000,SHA TIN TURF,2,10,K C LEUNG,14.1 21.3 22.4,0.57.81,AERIS NOVA,10
10/09,2,1200,CONGHUA AWT,1,7,M L YEUNG,24.6 22.3 23.5,1.10.40,YOUNG CHAMPION,10
11/09,1,1200,SHA TIN AWT,2,8,P N WONG,23.7 21.8 23.8,1.09.37,VICTOR THE WINNER,10
28/08,1,1200,SHA TIN AWT,3,10,Y L CHUNG,24.5 23.1 24.1,1.11.75,VICTOR THE WINNER,10
08/09,1,1200,SHA TIN AWT,2,8,M F POON,25.0 23.3 22.7,1.11.01,SALON S,10
28/08,1,1200,SHA TIN AWT,1,10,K TEETAN,24.5 23.1 24.1,1.11.75,TURQUOISE VELOCITY,10
