race_id,horse_no,horse_id,result,won,lengths_behind,horse_age,horse_country,horse_type,horse_rating,horse_gear,declared_weight,actual_weight,draw,position_sec1,position_sec2,position_sec3,position_sec4,position_sec5,position_sec6,behind_sec1,behind_sec2,behind_sec3,behind_sec4,behind_sec5,behind_sec6,time1,time2,time3,time4,time5,time6,finish_time,win_odds,place_odds,trainer_id,jockey_id
0,1,3917,10,0.0,8.0,3,AUS,Gelding,60,--,1020.0,133,7,6,4,6,10.0,,,2.0,2.0,1.5,8.0,,,13.85,21.59,23.86,24.62,,,83.92,9.7,3.7,118,2
0,2,2157,8,0.0,5.75,3,NZ,Gelding,60,--,980.0,133,12,12,13,13,8.0,,,6.5,9.0,5.0,5.75,,,14.57,21.99,23.3,23.7,,,83.56,16.0,4.9,164,57
0,3,858,7,0.0,4.75,3,NZ,Gelding,60,--,1082.0,132,8,3,2,2,7.0,,,1.0,1.0,0.75,4.75,,,13.69,21.59,23.9,24.22,,,83.4,3.5,1.5,137,18
0,4,1853,9,0.0,6.25,3,SAF,Gelding,60,--,1118.0,127,13,8,8,11,9.0,,,3.5,5.0,3.5,6.25,,,14.09,21.83,23.7,24.0,,,83.62,39.0,11.0,80,59
0,5,2796,6,0.0,3.75,3,GB,Gelding,60,--,972.0,131,14,13,12,12,6.0,,,7.75,8.75,4.25,3.75,,,14.77,21.75,23.22,23.5,,,83.24,50.0,14.0,9,154
0,6,3296,3,0.0,1.25,3,NZ,Gelding,60,--,1114.0,127,5,11,11,5,3.0,,,5.0,7.75,1.25,1.25,,,14.33,22.03,22.9,23.57,,,82.83,7.0,1.8,54,34
0,7,911,12,0.0,9.5,3,NZ,Gelding,60,--,978.0,123,11,1,1,1,12.0,,,0.75,1.0,0.75,9.5,,,13.53,21.59,23.94,25.09,,,84.15,99.0,28.0,55,149
0,8,2170,1,1.0,0.0,3,AUS,Gelding,60,--,1170.0,128,2,9,9,10,1.0,,,3.75,5.5,3.25,0.75,,,14.13,21.87,23.58,23.06,,,82.64,12.0,3.6,47,183
0,9,1730,13,0.0,9.75,3,NZ,Gelding,60,--,1126.0,123,6,2,3,3,13.0,,,0.75,1.5,1.25,9.75,,,13.65,21.71,23.9,24.94,,,84.2,38.0,13.0,75,131
0,10,2998,14,0.0,999.0,3,AUS,Mare,60,--,1072.0,125,9,14,14,14,14.0,,,9.5,14.0,16.75,999.0,,,15.05,22.31,24.38,30.46,,,92.2,39.0,12.0,109,145
0,11,1733,2,0.0,0.75,3,NZ,Gelding,60,--,1135.0,123,3,7,7,4,2.0,,,2.75,3.75,1.25,0.75,,,13.97,21.75,23.54,23.51,,,82.77,8.6,2.5,4,155
0,12,2617,4,0.0,2.25,3,AUS,Gelding,60,--,1018.0,123,10,10,10,9,4.0,,,4.5,6.5,2.5,2.25,,,14.25,21.91,23.3,23.52,,,82.98,23.0,8.5,7,115
0,13,727,11,0.0,8.25,3,USA,Gelding,60,--,1089.0,120,1,5,6,8,11.0,,,1.75,3.0,2.25,8.25,,,13.81,21.79,23.82,24.52,,,83.94,5.4,1.7,128,138
