ClassDistance(M),ClassDistance(M).1,Group Race,1,2,3,4,5,Griffin Race
Sha Tin Turf Track,1000,0.55.90,-,0.56.05,0.56.45,0.56.65,0.57.00,0.56.65
Sha Tin Turf Track,1200,1.08.15,1.08.45,1.08.65,1.09.00,1.09.35,1.09.55,1.09.90
Sha Tin Turf Track,1400,1.21.10,1.21.25,1.21.45,1.21.65,1.22.00,1.22.30,-
Sha Tin Turf Track,1600,1.33.90,1.34.05,1.34.25,1.34.70,1.34.90,1.35.45,-
Sha Tin Turf Track,1800,1.47.10,-,1.47.30,1.47.50,1.47.85,1.48.45,-
Sha Tin Turf Track,2000,2.00.50,2.01.20,2.01.70,2.01.90,2.02.35,2.02.65,-
Sha Tin Turf Track,2400,2.27.00,-,-,-,-,-,-
Happy Valley Turf Track,1000,-,-,0.56.40,0.56.65,0.57.20,0.57.35,-
Happy Valley Turf Track,1200,-,1.09.10,1.09.30,1.09.60,1.09.90,1.10.10,-
Happy Valley Turf Track,1650,-,1.39.10,1.39.30,1.39.90,1.40.10,1.40.30,-
Happy Valley Turf Track,1800,1.48.95,-,1.49.15,1.49.45,1.49.65,1.49.95,-
Happy Valley Turf Track,2200,-,-,-,2.16.60,2.17.05,2.17.35,-
Sha Tin All Weather Track,1200,-,-,1.08.35,1.08.55,1.08.95,1.09.35,-
Sha Tin All Weather Track,1650,-,1.37.80,1.38.40,1.38.60,1.39.05,1.39.45,-
Sha Tin All Weather Track,1800,-,-,-,1.48.05,1.48.55,1.49.45,-
