Distance(M),Class,Standard Times,Start-2000M,2000-1600M,1600-1200M,1200-800M,800-400M,400M-Finish
Distance(M),Class,Standard Times,,,,Start-800M,800-400M,400M-Finish
1000,Class 1,-,,,,-,-,-
1000,Class 2,0.56.40,,,,12.45,21.00,22.95
1000,Class 3,0.56.65,,,,12.50,21.00,23.15
1000,Class 4,0.57.20,,,,12.55,21.30,23.35
1000,Class 5,0.57.35,,,,12.60,21.40,23.35
Distance(M),Class,Standard Times,,,,Start-800M,800-400M,400M-Finish
1200,Class 1,1.09.10,,,,23.55,22.30,23.25
1200,Class 2,1.09.30,,,,23.45,22.35,23.50
1200,Class 3,1.09.60,,,,23.50,22.55,23.55
1200,Class 4,1.09.90,,,,23.65,22.70,23.55
1200,Class 5,1.10.10,,,,23.70,22.75,23.65
Distance(M),Class,Standard Times,,,Start-1200M,1200-800M,800-400M,400M-Finish
1650,Class 1,1.39.10,,,28.45,23.90,23.35,23.40
1650,Class 2,1.39.30,,,28.00,23.85,23.80,23.65
1650,Class 3,1.39.90,,,27.95,23.85,24.25,23.85
1650,Class 4,1.40.10,,,28.00,23.80,24.25,24.05
1650,Class 5,1.40.30,,,27.95,23.90,24.25,24.20
Distance(M),Class,Standard Times,,Start-1600M,1600-1200M,1200-800M,800-400M,400M-Finish
1800,Group Race,1.48.95,,13.65,22.90,24.35,24.15,23.90
1800,Class 1,-,,-,-,-,-,-
1800,Class 2,1.49.15,,13.65,22.80,24.55,24.20,23.95
1800,Class 3,1.49.45,,13.75,23.00,24.30,24.45,23.95
1800,Class 4,1.49.65,,13.75,22.90,24.35,24.35,24.30
1800,Class 5,1.49.95,,13.70,22.80,24.50,24.40,24.55
Distance(M),Class,Standard Times,Start-2000M,2000-1600M,1600-1200M,1200-800M,800-400M,400M-Finish
2200,Class 1,-,-,-,-,-,-,-
2200,Class 2,-,-,-,-,-,-,-
2200,Class 3,2.16.60,14.35,23.70,24.95,24.85,24.45,24.30
2200,Class 4,2.17.05,14.40,23.60,25.25,25.15,24.30,24.35
2200,Class 5,2.17.35,14.35,23.70,25.40,25.15,24.15,24.60
