Distance,Class,Horse Name,Time,Weight(lbs),Date
1000,1,SWEET SANETTE,0.56.30,114,10.2.2010
1000,2,WHIZZ KID,0:55.89,124,9.11.2022
1000,3,STOLTZ,0:55.85,126,26.1.2022
1000,4,GENTLE BREEZE,0.56.39,127,26.6.2019
1000,5,SHANGHAI POWER,0.56.52,119,8.9.2021
1000,Griffin,SINCERE AND FAITH,0.58.30,122,2.6.1999
1200,Group/Listed,FAIRY KING PRAWN,1.09.30,135,11.10.2000
1200,1,TIGER PRAWN,1.08.70,120,6.11.2007
1200,2,BEAUTY WAVES,1:08.10,134,16.7.2025
1200,3,AURIO,1.08.49,125,18.3.2026
1200,4,HAPPILY FRIENDS,1:08.60,117,14.7.2021
1200,5,ALLOY KING,1.09.17,123,20.10.2021
1200,Griffin,SOUTH CHINA WAY,1.10.50,119,3.6.1998
1650,1,BLUE SKY,1.38.70,120,24.2.2010
1650,2,AWESOME FLUKE,1:37.74,116,4.2.2026
1650,3,HIGHLAND RAHY,1:38.34,128,16.7.2025
1650,4,HIGHLAND RAHY,1:38.42,132,2.4.2025
1650,5,ALL JOYFUL,1:38.91,133,22.9.2021
1800,Group/Listed,MONEY CATCHER,1:47.94,127,11.1.2023
1800,1,GOLD MOUNT,1.47.80,132,28.3.2018
1800,2,TIME WARP,1.47.61,109,14.6.2017
1800,3,CHINA WIN,1:47.79,115,28.1.2026
1800,4,ACCLAIMED LIGHT,1.48.10,133,12.2.2020
1800,5,SUCCESS ALLSTARS,1:48.33,122,14.7.2021
2200,1,LIBERATOR,2.15.44,117,18.4.2012
2200,2,GREENESSY,2.15.90,124,10.5.2006
2200,3,VINCY,2.14.14,130,21.4.2021
2200,4,BRIGHT KID,2.14.42,120,30.11.2022
2200,5,SUPER HONG KONG,2:15.12,116,5.11.2025
2400,1,-,-,-,-
2400,2,GOOD FORTUNE,2.30.40,125,27.5.1998
2400,3,THE PIONEER,2.31.20,123,14.5.2003
2400,4,SURPRISE SURPRISE,2.31.00,115,26.1.2000
2400,5,TIME HONOUR,2.31.00,103,7.6.2000
