race_id,horse_id,clean_name,won,draw,actual_weight,declared_weight,horse_rating,last_win_rating,ST_win_rate,HV_win_rate,last_form_going,ST_vs_HV_pref,AWT_win_rate,Turf_win_rate,AWT_vs_Turf_pref,surface,days_since_last_run,class_diff,rating_diff,gear_changed,recent_avg_pos,recent_win_rate,distance_win_rate,gear_win_rate,jockey_win_rate,trainer_win_rate,venue,going,config,norm_implied_prob,prev_run_vet_finding
3396,0,,0.0,2.0,111.0,1142.0,65.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,30.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.08,0.08,ST,GOOD,A,0.0241187639130259,0.0
3489,0,,0.0,3.0,116.0,1128.0,65.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,35.0,0.0,0.0,0,10.0,0.0,0.0,0.0,0.0,0.0,ST,GOOD,A+3,0.0106065503349813,0.0
3794,0,,0.0,5.0,128.0,1137.0,60.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,175.0,1.0,-5.0,1,9.5,0.0,0.0,0.0,0.0,0.0,ST,GOOD TO FIRM,B,0.0206742607243831,0.0
3835,0,,0.0,10.0,130.0,1157.0,58.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,21.0,0.0,-2.0,1,11.0,0.0,0.0,0.0,0.0,0.0,ST,GOOD TO FIRM,A,0.0081891890431619,0.0
3886,0,,0.0,2.0,128.0,1151.0,55.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,21.0,0.0,-3.0,1,11.25,0.0,0.0,0.0,0.0,0.0,ST,GOOD TO FIRM,B+2,0.0226761589216242,0.0
3944,0,,0.0,7.0,128.0,1162.0,55.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,21.0,0.0,0.0,0,9.75,0.0,0.0,0.0,0.0,0.0,ST,GOOD TO FIRM,B+2,0.0571060901214688,0.0
4008,0,,0.0,4.0,127.0,1167.0,53.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,24.0,0.0,-2.0,0,10.0,0.0,0.0,0.0,0.0,0.0,HV,GOOD TO FIRM,B,0.0613484041752382,0.0
4037,0,,0.0,9.0,124.0,1161.0,51.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,10.0,0.0,-2.0,0,8.5,0.0,0.0,0.0,0.0,0.0,ST,GOOD TO FIRM,A+3,0.0254769471043848,0.0
4112,0,,0.0,13.0,124.0,1167.0,51.0,,0.0,0.0,GOOD TO FIRM,Neutral,0.0,0.0,Neutral,0.0,29.0,0.0,0.0,1,6.25,0.0,0.0,0.0,0.0,0.0,ST,GOOD,A+3,0.0478414004144712,0.0
4177,0,,0.0,10.0,125.0,1161.0,52.0,,0.0,0.0,GOOD,Neutral,0.0,0.0,Neutral,0.0,28.0,0.0,1.0,1,5.75,0.0,0.0,0.0,0.0,0.0,ST,GOOD,A,0.1033263662399327,0.0
4233,0,,0.0,5.0,128.0,1143.0,52.0,,0.0,0.0,GOOD,Neutral,0.0,0.0,Neutral,0.0,21.0,0.0,0.0,0,6.75,0.0,0.0,0.0,0.0,0.0,ST,GOOD,C,0.0804251068744833,0.0
4677,0,,0.0,1.0,124.0,1159.0,48.0,,0.0,0.0,GOOD,Neutral,0.0,0.0,Neutral,0.0,238.0,0.0,-4.0,1,7.75,0.0,0.0,0.0,0.0,0.0,ST,GOOD TO FIRM,C,0.0226694459785831,0.0
4708,0,,0.0,13.0,122.0,1164.0,49.0,,0.0,0.0,GOOD TO FIRM,Neutral,0.0,0.0,Neutral,0.0,13.0,0.0,1.0,1,7.75,0.0,0.0,0.0,0.0,0.0,ST,GOOD TO FIRM,A,0.0953469980235284,0.0
4746,0,,0.0,11.0,122.0,1171.0,49.0,,0.0,0.0,GOOD TO FIRM,Neutral,0.0,0.0,Neutral,0.0,15.0,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,0.0,ST,GOOD TO FIRM,C,0.0629064383704538,0.0
4800,0,,1.0,2.0,121.0,1184.0,48.0,,0.0,0.0,GOOD TO FIRM,Neutral,0.0,0.0,Neutral,0.0,20.0,0.0,-1.0,0,6.25,0.0,0.0,0.0,0.0,0.0,ST,GOOD TO FIRM,A+3,0.173337389599964,0.0
4852,0,,0.0,10.0,130.0,1179.0,57.0,48.0,0.0714285714285714,0.0,GOOD TO FIRM,Sha Tin,0.0,0.0666666666666666,Turf,0.0,21.0,0.0,9.0,0,3.5,0.25,0.1428571428571428,0.3333333333333333,0.1428571428571428,0.0769230769230769,ST,GOOD TO FIRM,A,0.2597392104562964,0.0
4916,0,,0.0,8.0,132.0,1179.0,57.0,48.0,0.0666666666666666,0.0,GOOD TO FIRM,Sha Tin,0.0,0.0625,Turf,0.0,25.0,0.0,0.0,0,3.75,0.25,0.0,0.25,0.0,0.0714285714285714,HV,GOOD,A,0.0972409710456657,0.0
5046,0,,0.0,6.0,130.0,1166.0,57.0,48.0,0.0666666666666666,0.0,GOOD TO FIRM,Sha Tin,0.0,0.0588235294117647,Turf,0.0,53.0,0.0,0.0,0,4.25,0.25,0.125,0.2,0.0,0.0666666666666666,ST,GOOD,A+3,0.2683211471529588,0.0
5109,0,,0.0,7.0,130.0,1149.0,57.0,48.0,0.0625,0.0,GOOD TO FIRM,Sha Tin,0.0,0.0555555555555555,Turf,0.0,28.0,0.0,0.0,0,4.0,0.25,0.1111111111111111,0.1666666666666666,0.0,0.0625,ST,GOOD TO FIRM,A,0.0814102944009037,0.0
5167,0,,0.0,9.0,129.0,1150.0,56.0,48.0,0.0588235294117647,0.0,GOOD TO FIRM,Sha Tin,0.0,0.0526315789473684,Turf,0.0,20.0,0.0,-1.0,0,4.5,0.0,0.1,0.1428571428571428,0.0,0.0588235294117647,ST,GOOD,C,0.0872773351442726,0.0
5222,0,,1.0,10.0,130.0,1160.0,57.0,48.0,0.0555555555555555,0.0,GOOD,Sha Tin,0.0,0.05,Turf,0.0,22.0,0.0,1.0,0,4.0,0.0,0.0909090909090909,0.125,0.125,0.0555555555555555,ST,GOOD TO FIRM,A+3,0.150590380732662,0.0
5292,0,,1.0,7.0,115.0,1148.0,64.0,57.0,0.1052631578947368,0.0,GOOD TO FIRM,Sha Tin,0.0,0.0952380952380952,Turf,0.0,24.0,-1.0,7.0,0,3.0,0.25,0.1666666666666666,0.2222222222222222,0.2222222222222222,0.1052631578947368,ST,GOOD TO FIRM,A,0.1246984062052969,0.0
5320,0,,1.0,5.0,125.0,1144.0,71.0,64.0,0.15,0.0,GOOD TO FIRM,Sha Tin,0.0,0.1363636363636363,Turf,0.0,11.0,0.0,7.0,0,1.75,0.5,0.2307692307692307,0.3,0.3333333333333333,0.15,ST,GOOD TO FIRM,B+2,0.2325111798001482,0.0
5449,0,,0.0,1.0,131.0,1166.0,76.0,71.0,0.1904761904761904,0.0,GOOD TO FIRM,Sha Tin,0.0,0.1739130434782608,Turf,0.0,105.0,0.0,5.0,0,1.25,0.75,0.2857142857142857,0.3636363636363636,1.0,0.1904761904761904,ST,GOOD TO FIRM,A,0.0729047401742366,0.0
5492,0,,0.0,11.0,129.0,1166.0,76.0,71.0,0.1818181818181818,0.0,GOOD TO FIRM,Sha Tin,0.0,0.1666666666666666,Turf,0.0,20.0,0.0,0.0,0,2.75,0.75,0.2666666666666666,0.3333333333333333,0.25,0.1818181818181818,ST,GOOD,A+3,0.0289785595417168,0.0
5555,0,,0.0,7.0,132.0,1180.0,77.0,71.0,0.1739130434782608,0.0,GOOD,Sha Tin,0.0,0.16,Turf,0.0,25.0,0.0,1.0,0,3.0,0.5,0.0,0.3076923076923077,0.0,0.1739130434782608,HV,YIELDING,A,0.0512850066551905,0.0
5613,0,,0.0,6.0,132.0,1181.0,77.0,71.0,0.1739130434782608,0.0,GOOD,Sha Tin,0.0,0.1538461538461538,Turf,0.0,23.0,0.0,0.0,0,5.25,0.25,0.25,0.2857142857142857,0.0,0.1666666666666666,ST,GOOD,B+2,0.0374814261743526,0.0
5693,0,,0.0,8.0,129.0,1180.0,76.0,71.0,0.1666666666666666,0.0,GOOD,Sha Tin,0.0,0.1481481481481481,Turf,0.0,36.0,0.0,-1.0,0,7.25,0.0,0.2352941176470588,0.2666666666666666,0.5,0.16,ST,GOOD,B+2,0.0371007493215354,0.0
5776,0,,0.0,9.0,129.0,1172.0,76.0,71.0,0.16,0.0,GOOD,Sha Tin,0.0,0.1428571428571428,Turf,0.0,29.0,0.0,0.0,0,6.0,0.0,0.0,0.25,0.0,0.1538461538461538,ST,GOOD,C,0.0313413709336827,0.0
5828,0,,0.0,9.0,129.0,1169.0,76.0,71.0,0.1538461538461538,0.0,GOOD,Sha Tin,0.0,0.1379310344827586,Turf,0.0,22.0,0.0,0.0,0,6.25,0.0,0.2222222222222222,0.2352941176470588,0.0,0.1481481481481481,ST,GOOD,A+3,0.0942045611422805,0.0
5866,0,,0.0,1.0,129.0,1173.0,76.0,71.0,0.1481481481481481,0.0,GOOD,Sha Tin,0.0,0.1333333333333333,Turf,0.0,13.0,0.0,0.0,0,5.25,0.0,0.2105263157894736,0.2222222222222222,0.2,0.1428571428571428,ST,GOOD TO YIELDING,C,0.0680393697021452,0.0
5942,0,,0.0,3.0,127.0,1171.0,72.0,71.0,0.1428571428571428,0.0,GOOD,Sha Tin,0.0,0.1290322580645161,Turf,0.0,27.0,0.0,-4.0,0,4.75,0.0,0.2,0.2105263157894736,0.0,0.1379310344827586,ST,GOOD,C,0.0326794584788762,0.0
6006,0,,0.0,4.0,125.0,1182.0,72.0,71.0,0.1379310344827586,0.0,GOOD,Sha Tin,0.0,0.125,Turf,0.0,29.0,0.0,0.0,0,5.25,0.0,0.1904761904761904,0.2,0.0,0.1333333333333333,ST,GOOD TO FIRM,B+2,0.0475659170412978,0.0
6033,0,,0.0,4.0,124.0,1174.0,70.0,71.0,0.1333333333333333,0.0,GOOD,Sha Tin,0.0,0.1212121212121212,Turf,0.0,10.0,0.0,-2.0,0,6.5,0.0,0.0,0.1904761904761904,0.0,0.1290322580645161,HV,GOOD TO FIRM,B,0.0809799709894256,0.0
6093,0,,0.0,10.0,121.0,1177.0,68.0,71.0,0.1333333333333333,0.0,GOOD,Sha Tin,0.0,0.1176470588235294,Turf,0.0,25.0,0.0,-2.0,0,6.5,0.0,0.1818181818181818,0.1818181818181818,0.0,0.125,ST,GOOD TO FIRM,B+2,0.0404151544800742,0.0
6118,0,,0.0,2.0,116.0,1170.0,68.0,71.0,0.1290322580645161,0.0,GOOD,Sha Tin,0.0,0.1142857142857142,Turf,0.0,63.0,0.0,0.0,0,5.75,0.0,0.1739130434782608,0.1739130434782608,0.0,0.1212121212121212,ST,GOOD,C,0.0272858173204757,0.0
6158,0,,0.0,9.0,120.0,1179.0,65.0,71.0,0.125,0.0,GOOD,Sha Tin,0.0,0.1111111111111111,Turf,0.0,20.0,0.0,-3.0,0,5.75,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1176470588235294,ST,GOOD,A+3,0.0627221954435661,0.0
6207,0,,0.0,6.0,115.0,1176.0,63.0,71.0,0.1212121212121212,0.0,GOOD,Sha Tin,0.0,0.1081081081081081,Turf,0.0,18.0,0.0,-2.0,0,6.0,0.0,0.0,0.16,0.0,0.1142857142857142,HV,GOOD TO YIELDING,C,0.0219585515915293,0.0
6262,0,,0.0,5.0,118.0,1187.0,60.0,71.0,0.1212121212121212,0.0,GOOD,Sha Tin,0.0,0.1052631578947368,Turf,0.0,21.0,0.0,-3.0,1,6.75,0.0,0.0,0.0,0.0,0.1111111111111111,HV,GOOD,B,0.0116374190923325,0.0
4129,1,,0.0,7.0,123.0,1183.0,52.0,,0.0,0.0,Unknown,Neutral,0.0,0.0,Neutral,0.0,30.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,0.1081081081081081,ST,GOOD TO FIRM,B+2,0.0080675584386834,0.0
