trainer,trainer_win_rate
A BULL,0.0
A FABRE,0.0
A LEE,0.057283142389525366
A P O'BRIEN,0.25
A S CRUZ,0.08198757763975155
A SCHUTZ,0.05084745762711865
A T MILLARD,0.08280254777070063
A DE WATRIGANT,0.0
BARANDE-BARBE,0.0
C APPLEBY,0.0
C CLEMENT,0.0
C FOWNES,0.08508014796547472
C H YIP,0.06218274111675127
C S SHUM,0.09530791788856305
C W CHANG,0.03815261044176707
C WALLER,0.0
D A HAYES,0.0
D CRUZ,0.04259634888438134
D E FERRARIS,0.05714285714285714
D J HALL,0.09515260323159784
D K WELD,0.0
D O'MEARA,0.0
E M LYNAM,0.0
E MADER,0.0
F HEAD,0.0
F ROHAUT,0.0
G ENEBISH,0.0
G PORTELLI,0.0
G W MOORE,0.0
H FUJIWARA,0.0
H OTONASHI,0.0
J LAU,0.0
J M MOORE,0.0
J MOORE,0.11948051948051948
J O'SHEA,0.0
J SIZE,0.1601123595505618
K C CHONG,0.0
K C WONG,0.0
K FUJIOKA,0.0
K L MAN,0.05348460291734198
K LEES,0.0
K W LUI,0.08737864077669903
K YOSHIMURA,0.0
L HO,0.06638115631691649
M C TAM,0.0
M DELZANGLES,0.0
M F DE KOCK,0.0
M HAWKES,1.0
M L W BELL,0.0
M SAITO,0.0
M SAKAGUCHI,0.5
N HORI,0.6666666666666666
P B SHAW,0.0
P BARY,0.0
P F YIU,0.08636363636363636
P O'SULLIVAN,0.10954063604240283
PAT LEE,0.0
R FAHEY,0.0
R GIBSON,0.05010438413361169
R HANNON,0.0
R HEATHCOTE,0.0
R OKUBO,0.0
S H CHEONG,0.0
S KUNIEDA,0.0
S WOODS,0.045454545454545456
SIR M R STOUTE,0.0
T K NG,0.043478260869565216
T OZEKI,0.0
T P YUNG,0.06776859504132231
T TANAKA,0.0
W A WARD,0.0
W H TSE,0.0
W Y SO,0.07624633431085044
Y C FUNG,0.0
Y IKEE,0.0
Y S TSUI,0.07585335018963338
DE ROYER DUPRE,0.0
